,name,location,open_times,amenities,phone,website,rating,url
218,Palominos Restaurant,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Plot 367 Aminu Kano Cres, Abuja 900288 Nigeria@9.083656,7.46967",1.01 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d23760310-Reviews-Palominos_Restaurant-Abuja_Federal_Capital_Territory.html
219,The Dome,Abuja Photos,AMAZING MINDBLOWING EXPERIENCE,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Adekunle Fajuyi Way, Abuja 900211 Nigeria@9.046545,7.467194",3.63.6 of 5 bubbles(9 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d14184009-Reviews-The_Dome-Abuja_Federal_Capital_Territory.html
220,Amakasnativepot,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Amina Court Apartments, Abuja Nigeria@9.00089,7.47311",5.05 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d17614374-Reviews-Amakasnativepot-Abuja_Federal_Capital_Territory.html
221,"6ixx Restaurant, Bar And Grill",Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Maitama, Abuja, Nigeria 10a Yedsebam St., Abuja 900221 Nigeria@9.093153,7.495093",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d24181882-Reviews-6ixx_Restaurant_Bar_And_Grill-Abuja_Federal_Capital_Territory.html
222,Chi Thai Revolution,Abuja Photos,N/A,N/A,+234 818 116 1826,"https://maps.google.com/maps?saddr=&daddr=15 Rhine St., Abuja 900271 Nigeria@9.0708,7.4882",4.14.1 of 5 bubbles(19 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d8527996-Reviews-Chi_Thai_Revolution-Abuja_Federal_Capital_Territory.html
223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d14048886-Reviews-Casa_Mexicana_the_Restaurant-Abuja_Federal_Capital_Territory.html
224,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d24912454-Reviews-The_Barlance-Abuja_Federal_Capital_Territory.html
225,Ketchup Cafe Abuja,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Omega Centre, Aminu Kano Crescent Wuse 2, Abuja 900288 Nigeria@9.07989,7.47711",4.04 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d13002435-Reviews-Ketchup_Cafe_Abuja-Abuja_Federal_Capital_Territory.html
226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d24113554-Reviews-Krunchill_Shawarma-Abuja_Federal_Capital_Territory.html
227,The Clove Restaurant,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=51 Libreville Crescent Wuse 2 Close To Beer Barn, Wuse 2, Abuja Nigeria@9.075533,7.463667",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d24107043-Reviews-The_Clove_Restaurant-Abuja_Federal_Capital_Territory.html
228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d27506518-Reviews-Seaside_Restaurant-Abuja_Federal_Capital_Territory.html
229,Green Siberia Cuisine,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=No 22, Aguiyi Ironsi Street (merit House) Maitama, Abuja 900100 Nigeria@9.08105,7.490718",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d23981490-Reviews-Green_Siberia_Cuisine-Abuja_Federal_Capital_Territory.html
230,Mulu Ethopian Restaurant,Abuja Photos,N/A,N/A,N/A,"https://maps.apple.com/maps?saddr=&daddr=Near Gitto Street, Abuja Nigeria@9.03391,7.48888",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d17817168-Reviews-Mulu_Ethopian_Restaurant-Abuja_Federal_Capital_Territory.html
231,Cakehut Cafe,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Ahmadu Bello Way River Plate Park, Opp Football Field, Wuse II Abuja Municipal, Abuja 900281 Nigeria@9.05655,7.49848",5.05 of 5 bubbles(2 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d14998204-Reviews-Cakehut_Cafe-Abuja_Federal_Capital_Territory.html
232,Kungfu,Abuja Photos,N/A,N/A,N/A,"https://maps.google.com/maps?saddr=&daddr=32 Ekukinam Street Alibro Atrium Plaza, Beside Abc Transport, Abuja 905102 Nigeria@9.066939,7.439397",3.83.8 of 5 bubbles(6 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d8873843-Reviews-Kungfu-Abuja_Federal_Capital_Territory.html
